model,training_recipe,variant,information_mode,prompt_profile,benchmark_rows,contract_ok_pct,citation_pass_rate_pct,citation_avg_sentence_coverage,doc_examples_with_any_eval,doc_pairs_evaluated,doc_micro_accuracy_pct,doc_macro_f1,conflict_evaluated_ids,conflict_support,conflict_accuracy_pct,final_answer_scored_pairs,token_f1,rouge_l_f1,final_avg_citation_count,final_avg_unique_citations,final_citation_sentence_coverage,rows_with_invalid_citations,raw_output_path
"llama8b","Base model","baseline","oracle_both","strict",736,0.0,19.5,0.4207,3,15,100.0,1.0,736,0,0.0,445,0.2263,0.1867,1.8655,1.6046,0.3368,0,"final_model_outputs/llama8b/oracle_both/strict/baseline/baseline_llama31_stagewise_base_oracle_both_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"llama8b","Run L","sft","oracle_both","strict",736,92.1,76.5,0.8706,713,3576,99.89,0.9991,736,712,75.7,538,0.3414,0.3008,2.769,1.7255,0.7177,0,"final_model_outputs/llama8b/oracle_both/strict/sft/sft_llama31_stagewise_main_trace_text_l_boundary_rebalanced_oracle_both_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"llama8b","Base model","baseline","oracle_conflict","minimal",736,0.0,0.0,0.0,0,0,0.0,0.0,736,0,0.0,539,0.2457,0.205,0.0,0.0,0.0,0,"final_model_outputs/llama8b/oracle_conflict/minimal/baseline/baseline_llama31_stagewise_base_oracle_conflict_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"llama8b","Run L","sft","oracle_conflict","minimal",736,87.8,75.1,0.8585,707,3570,79.36,0.7626,736,719,75.24,521,0.3587,0.3205,2.3125,1.5149,0.6835,0,"final_model_outputs/llama8b/oracle_conflict/minimal/sft/sft_llama31_stagewise_main_trace_text_l_boundary_rebalanced_oracle_conflict_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"llama8b","Base model","baseline","oracle_conflict","runtime",736,66.2,4.6,0.06,718,3510,42.56,0.3802,736,716,99.3,448,0.2422,0.2128,0.0897,0.0897,0.053,0,"final_model_outputs/llama8b/oracle_conflict/runtime/baseline/baseline_llama31_stagewise_base_oracle_conflict_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"llama8b","Run L","sft","oracle_conflict","runtime",736,93.3,75.4,0.8647,736,3699,78.02,0.7472,736,735,79.18,530,0.3524,0.3126,2.5204,1.6277,0.6932,0,"final_model_outputs/llama8b/oracle_conflict/runtime/sft/sft_llama31_stagewise_main_trace_text_l_boundary_rebalanced_oracle_conflict_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"llama8b","Base model","baseline","oracle_conflict","strict",736,0.0,10.3,0.1577,362,1830,55.46,0.5252,736,0,0.0,490,0.1545,0.1322,0.4891,0.4742,0.0842,1,"final_model_outputs/llama8b/oracle_conflict/strict/baseline/baseline_llama31_stagewise_base_oracle_conflict_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"llama8b","Run L","sft","oracle_conflict","strict",736,92.9,76.1,0.8649,729,3669,77.87,0.7424,736,727,78.95,533,0.338,0.2999,2.6739,1.7092,0.7001,0,"final_model_outputs/llama8b/oracle_conflict/strict/sft/sft_llama31_stagewise_main_trace_text_l_boundary_rebalanced_oracle_conflict_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"llama8b","Base model","baseline","oracle_notes","minimal",736,0.0,0.0,0.0,0,0,0.0,0.0,736,0,0.0,547,0.2022,0.1648,0.0,0.0,0.0,0,"final_model_outputs/llama8b/oracle_notes/minimal/baseline/baseline_llama31_stagewise_base_oracle_notes_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"llama8b","Run L","sft","oracle_notes","minimal",736,66.3,70.3,0.845,527,2651,99.92,0.9994,736,526,59.13,525,0.3628,0.3261,2.1345,1.4226,0.6791,0,"final_model_outputs/llama8b/oracle_notes/minimal/sft/sft_llama31_stagewise_main_trace_text_l_boundary_rebalanced_oracle_notes_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"llama8b","Base model","baseline","oracle_notes","runtime",736,82.1,11.0,0.1465,720,3597,88.6,0.8682,736,710,31.97,474,0.2281,0.2046,0.2405,0.2337,0.1312,0,"final_model_outputs/llama8b/oracle_notes/runtime/baseline/baseline_llama31_stagewise_base_oracle_notes_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"llama8b","Run L","sft","oracle_notes","runtime",736,95.9,77.2,0.8747,736,3701,98.51,0.9854,736,736,64.54,538,0.3483,0.3115,2.6114,1.7079,0.7142,0,"final_model_outputs/llama8b/oracle_notes/runtime/sft/sft_llama31_stagewise_main_trace_text_l_boundary_rebalanced_oracle_notes_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"llama8b","Base model","baseline","oracle_notes","strict",736,29.9,28.4,0.4879,304,1470,99.86,0.998,736,728,41.35,469,0.2322,0.1931,1.822,1.5571,0.392,0,"final_model_outputs/llama8b/oracle_notes/strict/baseline/baseline_llama31_stagewise_base_oracle_notes_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"llama8b","Run L","sft","oracle_notes","strict",736,92.4,74.5,0.866,717,3606,99.94,0.9996,736,716,63.83,534,0.3461,0.3061,2.731,1.7337,0.7013,0,"final_model_outputs/llama8b/oracle_notes/strict/sft/sft_llama31_stagewise_main_trace_text_l_boundary_rebalanced_oracle_notes_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"mistral7b","Base model","baseline","e2e","minimal",736,0.0,0.0,0.0,0,0,0.0,0.0,736,0,0.0,546,0.26,0.2173,0.0,0.0,0.0,0,"final_model_outputs/mistral7b/e2e/minimal/baseline/baseline_mistral7b_stagewise_base_e2e_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"mistral7b","Run L","sft","e2e","minimal",736,90.8,65.7,0.8186,736,3701,78.47,0.7307,736,736,60.73,501,0.3305,0.2878,2.5394,1.644,0.6217,0,"final_model_outputs/mistral7b/e2e/minimal/sft/sft_mistral7b_stagewise_main_trace_text_l_boundary_rebalanced_e2e_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"mistral7b","Base model","baseline","e2e","runtime",736,1.0,11.8,0.2059,15,50,44.0,0.4095,736,17,35.29,526,0.0946,0.0755,0.2459,0.2432,0.025,0,"final_model_outputs/mistral7b/e2e/runtime/baseline/baseline_mistral7b_stagewise_base_e2e_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"mistral7b","Run L","sft","e2e","runtime",736,89.8,69.2,0.8329,736,3701,78.38,0.7316,736,736,61.41,496,0.3274,0.2885,2.6603,1.6861,0.6284,0,"final_model_outputs/mistral7b/e2e/runtime/sft/sft_mistral7b_stagewise_main_trace_text_l_boundary_rebalanced_e2e_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"mistral7b","Base model","baseline","e2e","strict",736,79.8,11.0,0.3161,736,3629,45.38,0.4358,736,735,34.56,517,0.2411,0.1983,1.3071,1.2391,0.2973,0,"final_model_outputs/mistral7b/e2e/strict/baseline/baseline_mistral7b_stagewise_base_e2e_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"mistral7b","Run L","sft","e2e","strict",736,90.1,70.6,0.8378,736,3701,78.44,0.736,736,736,61.01,496,0.3202,0.2802,2.6929,1.7514,0.6306,0,"final_model_outputs/mistral7b/e2e/strict/sft/sft_mistral7b_stagewise_main_trace_text_l_boundary_rebalanced_e2e_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"mistral7b","Base model","baseline","oracle_both","minimal",736,0.0,0.0,0.0,0,0,0.0,0.0,736,0,0.0,546,0.1832,0.1431,0.0,0.0,0.0,0,"final_model_outputs/mistral7b/oracle_both/minimal/baseline/baseline_mistral7b_stagewise_base_oracle_both_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"mistral7b","Run L","sft","oracle_both","minimal",736,90.5,69.3,0.8353,728,3663,99.21,0.9938,736,728,67.31,506,0.3258,0.2826,2.7432,1.8016,0.6421,0,"final_model_outputs/mistral7b/oracle_both/minimal/sft/sft_mistral7b_stagewise_main_trace_text_l_boundary_rebalanced_oracle_both_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"mistral7b","Base model","baseline","oracle_both","runtime",736,3.0,0.0,0.0139,36,162,98.15,0.9856,736,36,100.0,513,0.0885,0.0669,0.1114,0.1114,0.0081,0,"final_model_outputs/mistral7b/oracle_both/runtime/baseline/baseline_mistral7b_stagewise_base_oracle_both_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"mistral7b","Run L","sft","oracle_both","runtime",736,92.4,66.8,0.8287,736,3701,95.16,0.9479,736,734,66.62,511,0.3186,0.2768,2.8438,1.8329,0.6451,0,"final_model_outputs/mistral7b/oracle_both/runtime/sft/sft_mistral7b_stagewise_main_trace_text_l_boundary_rebalanced_oracle_both_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"mistral7b","Base model","baseline","oracle_both","strict",736,27.0,13.0,0.3362,736,3509,99.74,0.9961,736,270,99.63,518,0.2532,0.2046,1.7527,1.6834,0.3442,0,"final_model_outputs/mistral7b/oracle_both/strict/baseline/baseline_mistral7b_stagewise_base_oracle_both_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"mistral7b","Run L","sft","oracle_both","strict",736,90.6,69.6,0.8351,736,3701,99.3,0.9945,736,736,66.58,500,0.3157,0.2732,2.6617,1.75,0.6342,0,"final_model_outputs/mistral7b/oracle_both/strict/sft/sft_mistral7b_stagewise_main_trace_text_l_boundary_rebalanced_oracle_both_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"mistral7b","Base model","baseline","oracle_conflict","minimal",736,0.0,0.0,0.0,0,0,0.0,0.0,736,0,0.0,547,0.2132,0.17,0.0,0.0,0.0,0,"final_model_outputs/mistral7b/oracle_conflict/minimal/baseline/baseline_mistral7b_stagewise_base_oracle_conflict_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"mistral7b","Run L","sft","oracle_conflict","minimal",736,87.0,68.4,0.8245,701,3492,78.72,0.7157,736,701,67.48,504,0.314,0.2732,2.5897,1.678,0.6048,1,"final_model_outputs/mistral7b/oracle_conflict/minimal/sft/sft_mistral7b_stagewise_main_trace_text_l_boundary_rebalanced_oracle_conflict_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"mistral7b","Base model","baseline","oracle_conflict","runtime",736,1.0,0.0,0.05,11,60,60.0,0.5931,736,11,100.0,481,0.0854,0.0687,0.1114,0.1114,0.0099,0,"final_model_outputs/mistral7b/oracle_conflict/runtime/baseline/baseline_mistral7b_stagewise_base_oracle_conflict_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"mistral7b","Run L","sft","oracle_conflict","runtime",736,90.5,67.3,0.8237,736,3701,78.14,0.7257,736,736,66.3,501,0.3278,0.2856,2.6698,1.7011,0.6256,0,"final_model_outputs/mistral7b/oracle_conflict/runtime/sft/sft_mistral7b_stagewise_main_trace_text_l_boundary_rebalanced_oracle_conflict_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"mistral7b","Base model","baseline","oracle_conflict","strict",736,0.0,2.4,0.0743,250,1292,47.14,0.4659,736,0,0.0,488,0.1433,0.1181,0.216,0.2079,0.0289,0,"final_model_outputs/mistral7b/oracle_conflict/strict/baseline/baseline_mistral7b_stagewise_base_oracle_conflict_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"mistral7b","Run L","sft","oracle_conflict","strict",736,88.5,69.0,0.8242,736,3701,78.71,0.7374,736,736,67.53,487,0.334,0.2924,2.6793,1.6902,0.6115,0,"final_model_outputs/mistral7b/oracle_conflict/strict/sft/sft_mistral7b_stagewise_main_trace_text_l_boundary_rebalanced_oracle_conflict_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"mistral7b","Base model","baseline","oracle_notes","minimal",736,0.0,0.0,0.0,0,0,0.0,0.0,736,0,0.0,547,0.2214,0.1809,0.0,0.0,0.0,0,"final_model_outputs/mistral7b/oracle_notes/minimal/baseline/baseline_mistral7b_stagewise_base_oracle_notes_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"mistral7b","Run L","sft","oracle_notes","minimal",736,88.0,68.9,0.8391,709,3577,99.27,0.9942,736,708,60.45,508,0.3129,0.2723,2.6957,1.7772,0.6462,0,"final_model_outputs/mistral7b/oracle_notes/minimal/sft/sft_mistral7b_stagewise_main_trace_text_l_boundary_rebalanced_oracle_notes_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"mistral7b","Base model","baseline","oracle_notes","runtime",736,5.3,6.0,0.1119,67,249,97.99,0.9666,736,67,19.4,504,0.1048,0.0827,0.1141,0.1114,0.0173,0,"final_model_outputs/mistral7b/oracle_notes/runtime/baseline/baseline_mistral7b_stagewise_base_oracle_notes_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"mistral7b","Run L","sft","oracle_notes","runtime",736,92.4,70.9,0.8374,736,3701,95.11,0.9484,736,735,62.72,511,0.3232,0.2795,2.9334,1.8614,0.6519,0,"final_model_outputs/mistral7b/oracle_notes/runtime/sft/sft_mistral7b_stagewise_main_trace_text_l_boundary_rebalanced_oracle_notes_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"mistral7b","Base model","baseline","oracle_notes","strict",736,70.4,10.3,0.317,736,3480,99.71,0.9968,736,648,38.58,528,0.2493,0.2042,1.6359,1.591,0.3157,0,"final_model_outputs/mistral7b/oracle_notes/strict/baseline/baseline_mistral7b_stagewise_base_oracle_notes_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"mistral7b","Run L","sft","oracle_notes","strict",736,89.8,72.6,0.844,736,3701,99.32,0.9947,736,735,60.68,496,0.3229,0.2806,2.7364,1.7853,0.6353,0,"final_model_outputs/mistral7b/oracle_notes/strict/sft/sft_mistral7b_stagewise_main_trace_text_l_boundary_rebalanced_oracle_notes_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen32b","Base model","baseline","e2e","minimal",736,0.0,0.0,0.0,0,0,0.0,0.0,736,0,0.0,547,0.2158,0.1785,0.0,0.0,0.0,0,"final_model_outputs/qwen32b/e2e/minimal/baseline/baseline_qwen25_32b_stagewise_base_e2e_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen32b","Run K","sft","e2e","minimal",736,93.5,75.3,0.8426,736,3699,83.27,0.7929,736,734,67.3,525,0.4068,0.3697,1.7255,1.163,0.6675,0,"final_model_outputs/qwen32b/e2e/minimal/sft/sft_qwen25_32b_stagewise_main_trace_text_k_short_context_targeted_retry1_e2e_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen32b","Base model","baseline","e2e","runtime",736,83.8,76.1,0.8433,736,3679,52.35,0.5039,736,736,35.05,534,0.2768,0.2385,3.5272,2.7228,0.8055,0,"final_model_outputs/qwen32b/e2e/runtime/baseline/baseline_qwen25_32b_stagewise_base_e2e_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen32b","Run K","sft","e2e","runtime",736,92.5,72.4,0.8222,734,3689,83.95,0.8031,736,733,66.71,521,0.4009,0.3638,1.8043,1.1549,0.6498,0,"final_model_outputs/qwen32b/e2e/runtime/sft/sft_qwen25_32b_stagewise_main_trace_text_k_short_context_targeted_retry1_e2e_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen32b","Base model","baseline","e2e","strict",736,83.7,74.5,0.8582,732,3682,62.85,0.595,736,727,40.72,530,0.2696,0.2316,3.5978,2.7636,0.8119,0,"final_model_outputs/qwen32b/e2e/strict/baseline/baseline_qwen25_32b_stagewise_base_e2e_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen32b","Run K","sft","e2e","strict",736,92.9,68.3,0.8107,735,3696,84.04,0.8062,736,732,65.98,522,0.4105,0.3707,1.712,1.1318,0.6389,0,"final_model_outputs/qwen32b/e2e/strict/sft/sft_qwen25_32b_stagewise_main_trace_text_k_short_context_targeted_retry1_e2e_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen32b","Base model","baseline","oracle_both","minimal",736,0.0,0.0,0.0,0,0,0.0,0.0,736,0,0.0,548,0.1668,0.1329,0.0245,0.0245,0.0037,0,"final_model_outputs/qwen32b/oracle_both/minimal/baseline/baseline_qwen25_32b_stagewise_base_oracle_both_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen32b","Run K","sft","oracle_both","minimal",736,94.4,76.9,0.8544,726,3651,99.86,0.998,736,734,92.78,537,0.3802,0.3434,1.9606,1.2704,0.6989,0,"final_model_outputs/qwen32b/oracle_both/minimal/sft/sft_qwen25_32b_stagewise_main_trace_text_k_short_context_targeted_retry1_oracle_both_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen32b","Base model","baseline","oracle_both","runtime",736,85.9,47.2,0.6786,736,3701,99.35,0.9855,736,736,100.0,518,0.2763,0.2354,2.7296,2.4293,0.609,0,"final_model_outputs/qwen32b/oracle_both/runtime/baseline/baseline_qwen25_32b_stagewise_base_oracle_both_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen32b","Run K","sft","oracle_both","runtime",736,94.2,71.4,0.8264,735,3696,99.54,0.9935,736,735,92.52,526,0.4069,0.3653,1.8696,1.2133,0.6637,0,"final_model_outputs/qwen32b/oracle_both/runtime/sft/sft_qwen25_32b_stagewise_main_trace_text_k_short_context_targeted_retry1_oracle_both_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen32b","Base model","baseline","oracle_both","strict",736,6.5,78.4,0.8661,736,3701,100.0,1.0,736,66,100.0,537,0.2571,0.2165,4.538,3.2717,0.8258,0,"final_model_outputs/qwen32b/oracle_both/strict/baseline/baseline_qwen25_32b_stagewise_base_oracle_both_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen32b","Run K","sft","oracle_both","strict",736,93.3,73.6,0.8306,736,3701,99.95,0.9992,736,736,93.48,520,0.3852,0.3449,1.8845,1.2011,0.6545,0,"final_model_outputs/qwen32b/oracle_both/strict/sft/sft_qwen25_32b_stagewise_main_trace_text_k_short_context_targeted_retry1_oracle_both_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen32b","Base model","baseline","oracle_conflict","minimal",736,0.0,0.0,0.0,0,0,0.0,0.0,736,0,0.0,547,0.1676,0.1314,0.0312,0.0245,0.003,0,"final_model_outputs/qwen32b/oracle_conflict/minimal/baseline/baseline_qwen25_32b_stagewise_base_oracle_conflict_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen32b","Run K","sft","oracle_conflict","minimal",736,89.1,0.0,0.0,700,3533,83.7,0.8,736,720,86.53,528,0.3979,0.3595,0.0,0.0,0.0,0,"final_model_outputs/qwen32b/oracle_conflict/minimal/sft/sft_qwen25_32b_stagewise_main_trace_text_k_short_context_targeted_retry1_oracle_conflict_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen32b","Base model","baseline","oracle_conflict","runtime",736,82.7,0.0,0.0,736,3670,52.13,0.5067,736,736,100.0,503,0.2649,0.2269,0.0,0.0,0.0,0,"final_model_outputs/qwen32b/oracle_conflict/runtime/baseline/baseline_qwen25_32b_stagewise_base_oracle_conflict_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen32b","Run K","sft","oracle_conflict","runtime",736,93.5,0.0,0.0,733,3686,83.59,0.7973,736,733,88.68,524,0.3898,0.3513,0.0,0.0,0.0,0,"final_model_outputs/qwen32b/oracle_conflict/runtime/sft/sft_qwen25_32b_stagewise_main_trace_text_k_short_context_targeted_retry1_oracle_conflict_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen32b","Base model","baseline","oracle_conflict","strict",736,0.0,71.7,0.8376,734,3691,63.64,0.5936,736,2,50.0,92,0.244,0.1902,3.6508,2.803,0.7841,0,"final_model_outputs/qwen32b/oracle_conflict/strict/baseline/baseline_qwen25_32b_stagewise_base_oracle_conflict_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen32b","Run K","sft","oracle_conflict","strict",736,92.9,0.0,0.0,736,3701,84.25,0.8061,736,736,90.9,516,0.3919,0.3524,0.0,0.0,0.0,0,"final_model_outputs/qwen32b/oracle_conflict/strict/sft/sft_qwen25_32b_stagewise_main_trace_text_k_short_context_targeted_retry1_oracle_conflict_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen32b","Base model","baseline","oracle_notes","minimal",736,0.0,0.0,0.0,0,0,0.0,0.0,736,0,0.0,547,0.1715,0.1384,0.0625,0.0625,0.0114,0,"final_model_outputs/qwen32b/oracle_notes/minimal/baseline/baseline_qwen25_32b_stagewise_base_oracle_notes_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen32b","Run K","sft","oracle_notes","minimal",736,95.2,78.1,0.855,736,3701,99.92,0.9985,736,736,68.48,531,0.3949,0.3574,1.9008,1.2554,0.6936,0,"final_model_outputs/qwen32b/oracle_notes/minimal/sft/sft_qwen25_32b_stagewise_main_trace_text_k_short_context_targeted_retry1_oracle_notes_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen32b","Base model","baseline","oracle_notes","runtime",736,87.8,39.6,0.6261,736,3699,93.92,0.8925,736,736,43.75,524,0.282,0.2433,2.6332,2.3614,0.5668,0,"final_model_outputs/qwen32b/oracle_notes/runtime/baseline/baseline_qwen25_32b_stagewise_base_oracle_notes_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen32b","Run K","sft","oracle_notes","runtime",736,94.7,70.9,0.8309,736,3701,99.43,0.9918,736,736,66.98,530,0.4028,0.3619,1.8723,1.2269,0.674,0,"final_model_outputs/qwen32b/oracle_notes/runtime/sft/sft_qwen25_32b_stagewise_main_trace_text_k_short_context_targeted_retry1_oracle_notes_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen32b","Base model","baseline","oracle_notes","strict",736,86.1,0.0,0.0,736,3701,100.0,1.0,736,736,47.15,540,0.2543,0.2117,0.0,0.0,0.0,0,"final_model_outputs/qwen32b/oracle_notes/strict/baseline/baseline_qwen25_32b_stagewise_base_oracle_notes_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen32b","Run K","sft","oracle_notes","strict",736,94.0,74.0,0.8306,736,3701,99.97,0.9998,736,736,66.71,524,0.3986,0.3584,1.8682,1.1821,0.6636,0,"final_model_outputs/qwen32b/oracle_notes/strict/sft/sft_qwen25_32b_stagewise_main_trace_text_k_short_context_targeted_retry1_oracle_notes_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen7b","Base model","baseline","e2e","minimal",736,0.0,0.0,0.0,0,0,0.0,0.0,736,0,0.0,547,0.2551,0.2181,0.0,0.0,0.0,0,"final_model_outputs/qwen7b/e2e/minimal/baseline/baseline_qwen25_stagewise_base_e2e_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen7b","Run K","sft","e2e","minimal",736,93.6,73.3,0.8433,736,3701,80.44,0.7636,736,735,60.14,530,0.3296,0.2935,2.125,1.5992,0.6909,0,"final_model_outputs/qwen7b/e2e/minimal/sft/sft_qwen25_stagewise_main_trace_text_k_short_context_targeted_e2e_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"qwen7b","Base model","baseline","e2e","runtime",736,63.3,5.5,0.3472,734,3421,49.05,0.4487,736,707,37.06,478,0.2682,0.2348,2.0435,1.9008,0.3135,0,"final_model_outputs/qwen7b/e2e/runtime/baseline/baseline_qwen25_stagewise_base_e2e_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
